id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
946929,2022,FEBRERO,JUEVES,2022-02-24,0.0,Amenazas,Amenazas,NO,NO,NUEVA POMPEYA,4.0,-34.639177,-58.414591,1
84629,2022,SEPTIEMBRE,VIERNES,2022-09-09,14.0,Hurto,Hurto total,NO,NO,VILLA DEVOTO,11.0,-34.590359,-58.515369,1
27770,2022,AGOSTO,VIERNES,2022-08-19,16.0,Robo,Robo total,NO,NO,ALMAGRO,5.0,-34.606149,-58.419954,1
44727,2022,ABRIL,MARTES,2022-04-26,9.0,Robo,Robo total,SI,NO,VILLA LUGANO,8.0,-34.678822,-58.490514,1
892055,2022,AGOSTO,VIERNES,2022-08-19,18.0,Vialidad,Lesiones por siniestros viales,NO,NO,VELEZ SARSFIELD,10.0,-34.635494,-58.48053,1
31508,2022,MAYO,VIERNES,2022-05-06,5.0,Robo,Robo total,SI,NO,SAN TELMO,1.0,-34.621885,-58.372815,1
970992,2022,MARZO,MIERCOLES,2022-03-30,13.0,Amenazas,Amenazas,NO,NO,ALMAGRO,5.0,-34.619605,-58.421569,1
79898,2022,ENERO,MARTES,2022-01-25,6.0,Hurto,Hurto automotor,NO,NO,VILLA SOLDATI,8.0,-34.657462,-58.434074,1
6418,2022,OCTUBRE,SABADO,2022-10-22,1.0,Robo,Robo total,NO,NO,VILLA URQUIZA,12.0,-34.56887,-58.47288,1
99980,2022,MARZO,VIERNES,2022-03-11,14.0,Hurto,Hurto total,NO,NO,FLORESTA,10.0,-34.636709,-58.478103,1
57620,2022,JULIO,LUNES,2022-07-04,16.0,Hurto,Hurto total,NO,NO,PALERMO,14.0,-34.579829,-58.441184,1
99501,2022,OCTUBRE,LUNES,2022-10-24,15.0,Robo,Robo total,NO,NO,SAN TELMO,1.0,-34.620672,-58.369982,1
28044,2022,DICIEMBRE,MARTES,2022-12-27,18.0,Hurto,Hurto total,NO,NO,CONSTITUCION,1.0,-34.627722,-58.380763,1
13868,2022,JUNIO,DOMINGO,2022-06-26,9.0,Hurto,Hurto total,NO,NO,SAN NICOLAS,1.0,-34.599869,-58.372616,1
48708,2022,ABRIL,LUNES,2022-04-25,18.0,Robo,Robo total,NO,NO,NUÑEZ,13.0,-34.539064,-58.464837,1
1005698,2022,ABRIL,VIERNES,2022-04-29,8.0,Lesiones,Lesiones Dolosas,NO,NO,PALERMO,14.0,-34.584212,-58.432674,1
36923,2022,NOVIEMBRE,MIERCOLES,2022-11-30,1.0,Hurto,Hurto total,NO,NO,NUEVA POMPEYA,4.0,-34.648684,-58.431207,1
52019,2022,MARZO,MARTES,2022-03-22,12.0,Robo,Robo total,NO,NO,COLEGIALES,13.0,-34.575746,-58.451474,1
93024,2022,MAYO,MIERCOLES,2022-05-04,20.0,Hurto,Hurto total,NO,NO,PALERMO,14.0,-34.58852,-58.410979,1
59609,2022,JULIO,JUEVES,2022-07-28,13.0,Robo,Robo total,NO,SI,PALERMO,14.0,-34.576572,-58.404862,1
10471,2022,FEBRERO,DOMINGO,2022-02-06,4.0,Robo,Robo total,NO,NO,RECOLETA,2.0,-34.57161,-58.396706,1
103050,2022,FEBRERO,DOMINGO,2022-02-06,18.0,Hurto,Hurto total,NO,NO,RETIRO,1.0,-34.592886,-58.378589,1
103375,2022,NOVIEMBRE,DOMINGO,2022-11-13,21.0,Hurto,Hurto total,NO,NO,SAN NICOLAS,1.0,-34.604339,-58.389891,1
75583,2022,MARZO,LUNES,2022-03-28,9.0,Hurto,Hurto total,NO,NO,MATADEROS,9.0,-34.644694,-58.497203,1
968849,2022,DICIEMBRE,DOMINGO,2022-12-11,11.0,Amenazas,Amenazas,NO,NO,SAN TELMO,1.0,-34.621634,-58.369069,1
105472,2022,FEBRERO,DOMINGO,2022-02-20,16.0,Hurto,Hurto total,NO,NO,CABALLITO,6.0,-34.62357841,-58.44181165,1
58141,2022,AGOSTO,MARTES,2022-08-02,19.0,Hurto,Hurto total,NO,NO,BALVANERA,3.0,-34.605742,-58.410979,1
34875,2022,OCTUBRE,LUNES,2022-10-24,8.0,Robo,Robo total,NO,NO,PALERMO,14.0,-34.573493,-58.436489,1
